Benevolence,Universal,Self-direction,Stimulation,Hedonism,Achievement ,Power,Security,Conformity,Tradition,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1.0,0.933,0.7,1.0,0.9,0.6,0.7,0.9,0.8,1.0,0.7,0.528,0.594,0.583,0.5
0.6,0.733,0.9,1.0,0.9,0.6,0.4,0.6,0.5,0.9,0.575,0.389,0.625,0.722,0.281
0.8,0.733,1.0,0.9,0.9,0.9,0.4,0.9,1.0,1.0,0.475,0.556,0.438,0.667,0.531
0.9,0.733,0.8,0.9,0.9,0.8,0.8,0.9,0.8,0.9,0.625,0.472,0.438,0.611,0.469
0.9,0.533,0.9,0.9,0.4,0.6,0.5,0.4,0.4,0.4,0.725,0.75,0.625,0.722,0.406
0.9,0.867,1.0,0.8,1.0,0.6,0.5,0.9,1.0,1.0,0.475,0.556,0.531,0.583,0.5
1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.7,1.0,0.55,0.556,0.5,0.528,0.375
0.9,0.8,1.0,1.0,0.7,0.3,0.2,0.8,0.5,1.0,0.725,0.5,0.5,0.667,0.5
0.9,0.6,0.9,0.8,0.8,0.9,0.5,0.9,0.8,1.0,0.725,0.694,0.562,0.694,0.5
0.8,0.6,0.6,0.8,0.8,0.8,0.6,0.5,0.4,0.4,0.65,0.528,0.531,0.611,0.625
1.0,0.867,1.0,1.0,0.6,0.7,0.3,0.8,0.4,0.7,0.8,0.583,0.625,0.694,0.312
1.0,0.733,1.0,0.8,0.6,1.0,0.5,0.8,0.1,0.9,0.8,0.583,0.75,0.5,0.375
0.6,0.8,1.0,0.9,0.8,0.5,0.2,0.0,0.3,0.7,0.675,0.333,0.625,0.667,0.844
0.8,0.8,0.8,0.8,0.9,0.7,0.5,0.8,0.6,0.9,0.575,0.611,0.594,0.667,0.469
0.9,0.867,0.9,0.7,0.5,1.0,0.7,0.9,1.0,0.8,0.675,0.694,0.625,0.556,0.312
0.8,0.533,0.9,0.6,0.9,0.7,0.6,0.8,0.6,0.8,0.65,0.389,0.5,0.472,0.812
0.8,0.867,0.5,0.5,0.3,0.5,0.5,0.3,0.9,1.0,0.575,0.722,0.531,0.75,0.375
0.8,0.733,0.8,1.0,0.8,0.3,0.8,0.9,0.8,0.7,0.65,0.389,0.469,0.694,0.75
0.9,0.667,0.8,0.7,0.3,0.8,0.5,0.8,0.7,0.9,0.675,0.556,0.438,0.778,0.469
0.6,0.8,1.0,0.6,0.1,0.3,0.2,1.0,0.1,0.9,0.525,0.611,0.438,0.833,0.312
0.7,0.8,1.0,0.8,0.1,0.9,0.5,0.8,0.5,0.6,0.8,0.556,0.656,0.611,0.5
0.9,0.533,1.0,0.9,0.7,0.9,0.8,0.7,0.7,0.6,0.7,0.833,0.75,0.806,0.188
1.0,0.6,1.0,1.0,0.4,0.1,0.3,0.5,0.0,0.0,0.475,0.611,0.281,0.556,0.25
0.8,0.933,0.6,1.0,0.9,0.8,0.8,0.7,1.0,0.5,0.65,0.639,0.531,0.806,0.469
0.7,0.8,0.7,0.8,0.7,0.3,0.4,0.6,0.6,0.7,0.6,0.611,0.562,0.611,0.281
1.0,1.0,0.6,0.9,1.0,0.9,0.7,0.7,0.5,0.8,0.6,0.278,0.406,0.639,0.719
0.7,0.667,0.9,1.0,1.0,0.7,0.5,0.9,1.0,1.0,0.65,0.611,0.469,0.639,0.438
0.9,1.0,0.9,0.7,0.6,0.9,0.7,0.8,0.4,0.7,0.65,0.778,0.656,0.778,0.312
0.9,0.867,0.9,1.0,0.8,0.6,0.5,0.8,1.0,0.8,0.725,0.528,0.469,0.722,0.469
0.8,0.6,0.9,1.0,0.8,1.0,0.5,0.6,0.3,0.8,0.75,0.417,0.156,0.861,0.438
1.0,0.733,0.8,0.8,0.9,1.0,0.9,0.9,0.9,0.8,0.55,0.389,0.5,0.611,0.75
0.9,0.8,0.8,1.0,1.0,0.7,0.6,0.9,0.7,0.9,0.7,0.611,0.531,0.556,0.375
0.9,0.867,1.0,0.9,0.6,0.7,0.6,0.5,0.5,0.4,0.775,0.611,0.562,0.694,0.562
0.9,0.867,0.7,0.5,1.0,0.0,0.8,0.5,0.5,0.6,0.55,0.472,0.375,0.639,0.5
0.9,0.933,0.7,0.6,0.5,0.6,0.3,0.7,0.8,1.0,0.575,0.667,0.531,0.694,0.438
